company,metric,period,value
HDFCBANK,sales,10Y,21.0
HDFCBANK,profit,10Y,22.0
HDFCBANK,stock,10Y,15.0
HDFCBANK,roe,10Y,17.0
SBILIFE,sales,5Y,24.0
SBILIFE,profit,5Y,6.0
SBILIFE,stock,5Y,8.0
SBILIFE,roe,5Y,14.0
SBILIFE,sales,3Y,17.0
SBILIFE,profit,3Y,9.0
SBILIFE,stock,3Y,7.0
SBILIFE,roe,3Y,13.0
SBILIFE,sales,TTM,43.0
SBILIFE,profit,TTM,18.0
SBILIFE,stock,TTM,-2.0
SBILIFE,roe,TTM,12.0
TCS,sales,10Y,11.0
TCS,profit,10Y,9.0
TCS,stock,10Y,14.0
TCS,roe,10Y,40.0
TCS,sales,5Y,10.0
TCS,profit,5Y,8.0
TCS,stock,5Y,16.0
TCS,roe,5Y,44.0
TCS,sales,3Y,14.0
TCS,profit,3Y,12.0
TCS,stock,3Y,8.0
TCS,roe,3Y,47.0
TCS,sales,TTM,5.0
TCS,profit,TTM,8.0
TCS,stock,TTM,16.0
TCS,roe,TTM,52.0
WIPRO,sales,10Y,8.0
WIPRO,profit,10Y,3.0
WIPRO,stock,10Y,12.0
WIPRO,roe,10Y,18.0
WIPRO,sales,5Y,9.0
WIPRO,profit,5Y,4.0
WIPRO,stock,5Y,20.0
WIPRO,roe,5Y,17.0
WIPRO,sales,3Y,13.0
WIPRO,profit,3Y,0.0
WIPRO,stock,3Y,-1.0
WIPRO,roe,3Y,17.0
HDFCBANK,sales,5Y,22.0
HDFCBANK,profit,5Y,23.0
HDFCBANK,stock,5Y,8.0
HDFCBANK,roe,5Y,17.0
WIPRO,sales,TTM,-3.0
WIPRO,profit,TTM,1.0
WIPRO,stock,TTM,39.0
WIPRO,roe,TTM,14.0
HDFCBANK,sales,3Y,30.0
HDFCBANK,profit,3Y,26.0
HDFCBANK,stock,3Y,8.0
HDFCBANK,roe,3Y,17.0
HDFCBANK,sales,TTM,47.0
HDFCBANK,profit,TTM,27.0
HDFCBANK,stock,TTM,13.0
HDFCBANK,roe,TTM,17.0
INFY,sales,10Y,12.0
INFY,profit,10Y,9.0
INFY,stock,10Y,15.0
INFY,roe,10Y,27.0
INFY,sales,5Y,13.0
INFY,profit,5Y,11.0
INFY,stock,5Y,22.0
INFY,roe,5Y,29.0
INFY,sales,3Y,5.0
INFY,profit,3Y,10.0
INFY,stock,3Y,4.0
INFY,roe,3Y,31.0
INFY,sales,TTM,3.0
INFY,profit,TTM,8.0
INFY,stock,TTM,27.0
INFY,roe,TTM,32.0
SBILIFE,sales,10Y,23.0
SBILIFE,profit,10Y,9.0
SBILIFE,stock,10Y,9.0
SBILIFE,roe,10Y,16.0
